id,key,value,type
30029498,highway,motorway_junction,regular
30029498,highway,motorway_junction,regular
30029498,highway,motorway_junction,regular
31790023,source,PGS,regular
31800618,source,PGS,regular
31810214,source,PGS,regular
31822252,source,PGS,regular
31830276,source,PGS,regular
31831307,source,PGS,regular
31838864,source,PGS,regular
31845757,source,PGS,regular
31854862,source,PGS,regular
31867309,source,PGS,regular
33154450,highway,motorway_junction,regular
33154450,highway,motorway_junction,regular
33154450,highway,motorway_junction,regular
35706133,created_by,JOSM,regular
35706185,created_by,JOSM,regular
35706284,created_by,JOSM,regular
35706296,created_by,JOSM,regular
35706316,created_by,JOSM,regular
35706326,created_by,JOSM,regular
35706336,created_by,JOSM,regular
35706376,created_by,JOSM,regular
35706445,created_by,JOSM,regular
35706458,created_by,JOSM,regular
35706468,created_by,JOSM,regular
35706478,created_by,JOSM,regular
35706500,created_by,JOSM,regular
35706515,created_by,JOSM,regular
35706574,created_by,JOSM,regular
35706574,created_by,JOSM,regular
35719150,highway,crossing,regular
51665170,created_by,JOSM,regular
51665218,created_by,JOSM,regular
51665336,created_by,JOSM,regular
51665387,created_by,JOSM,regular
52978914,power,tower,regular
52982613,highway,traffic_signals,regular
52983448,highway,traffic_signals,regular
52986502,access,destination,regular
52986575,highway,traffic_signals,regular
52986986,highway,motorway_junction,regular
52986986,highway,motorway_junction,regular
52987661,highway,traffic_signals,regular
52991893,source,usgs_imagery,regular
52991893,source,usgs_imagery,regular
53001491,highway,turning_circle,regular
53005401,highway,traffic_signals,regular
53005962,highway,turning_circle,regular
53013480,highway,motorway_junction,regular
53013480,highway,motorway_junction,regular
53013480,highway,motorway_junction,regular
53013480,highway,motorway_junction,regular
53017998,highway,turning_circle,regular
53018339,highway,traffic_signals,regular
53018631,highway,turning_circle,regular
53019332,highway,stop,regular
53019383,highway,traffic_signals,regular
53019587,highway,turning_circle,regular
53020092,highway,turning_circle,regular
53020544,highway,turning_circle,regular
53021499,highway,turning_circle,regular
53021870,highway,stop,regular
53022233,sound,yes,traffic_signals
53022233,sound,yes,traffic_signals
53022323,highway,turning_circle,regular
53022528,highway,turning_circle,regular
53025940,highway,turning_circle,regular
53026539,highway,turning_circle,regular
53026559,highway,turning_circle,regular
53026619,highway,traffic_signals,regular
53026818,highway,traffic_signals,regular
53027128,highway,stop,regular
53027375,highway,traffic_signals,regular
53028492,highway,turning_circle,regular
53028794,highway,turning_circle,regular
53029024,highway,stop,regular
53029043,highway,stop,regular
53029719,highway,stop,regular
53029736,highway,traffic_signals,regular
53030142,highway,stop,regular
